"Time","Event",""
"01:03:04.760","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 26905)",""
"01:03:04.865","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28054)",""
"01:03:05.024","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27073)",""
"01:03:05.238","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28035)",""
"01:03:05.476","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27674)",""
"01:03:05.641","Blinkladen Arcane Missiles Training Dummy 1 27350",""
"01:03:05.844","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28166)",""
"01:03:06.080","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58620)",""
"01:03:12.060","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28672)",""
"01:03:12.162","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 27821)",""
"01:03:12.370","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28903)",""
"01:03:12.484","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62065)",""
"01:03:12.693","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60211)",""
"01:03:12.907","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28260)",""
"01:03:13.121","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60207)",""
"01:03:13.309","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28226)",""
"01:03:19.246","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 61910)",""
"01:03:19.352","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29443)",""
"01:03:19.649","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28910)",""
"01:03:19.754","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29972)",""
"01:03:20.024","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28939)",""
"01:03:20.177","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28985)",""
"01:03:20.386","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29243)",""
"01:03:20.614","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29111)",""
"01:03:48.455","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28353)",""
"01:03:48.552","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 60893)",""
"01:03:48.738","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29329)",""
"01:03:48.967","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 64052)",""
"01:03:49.176","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 62545)",""
"01:03:49.288","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29698)",""
"01:03:49.579","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 29629)",""
"01:03:49.759","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 64322)",""
"01:04:02.940","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 58987)",""
"01:04:03.044","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28525)",""
"01:04:03.302","Blinkladen Arcane Missiles Training Dummy 1 1 (O: 28543)",""
"01:04:03.538","Blinkladen Arcane Missiles Training Dummy 1 *1* (O: 59455)",""
"01:04:03.724","Blinkladen Arcane Missiles Training Dummy 1 27752",""
