"Time","Type","Ability","Amount","Source → Target",""
"00:58:26.560","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58:28.376","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58:33.726","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58:41.019","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58:42.887","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58:43.609","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58:48.400","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58:55.685","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58:55.687","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:02.969","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:04.804","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:05.221","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:10.262","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:12.015","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:12.275","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:12.609","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:17.498","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:24.810","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:27.270","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:32.007","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:39.296","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:40.933","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:41.617","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:46.595","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:53.824","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:55.563","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:59:56.289","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:01.025","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:08.421","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:10.039","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:11.359","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:15.706","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:23.052","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:23.054","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:30.296","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:37.510","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:39.394","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:40.365","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:44.795","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:52.178","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:52.182","Resource Change","Impetus","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:55.004","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:00:59.462","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:06.740","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:08.999","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:14.032","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:21.309","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:28.572","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:30.413","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:31.005","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:35.878","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:01:43.009","Resource Change","Arcane Blast","1 Arcane Charges","Blinkladen → Blinkladen",""
