"Time","Type","Ability","Source → Target",""
"00:18:12.441","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:16.473","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:18:17.257","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:19.706","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:23.711","Cast","Arcane Blast 1.56 sec","Blinkladen → Training Dummy 1",""
"00:18:24.564","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:18:26.952","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:31.008","Cast","Arcane Blast 1.58 sec","Blinkladen → Training Dummy 1",""
"00:18:31.834","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:18:34.273","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:38.268","Cast","Arcane Blast 1.57 sec","Blinkladen → Training Dummy 1",""
"00:18:39.153","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:41.571","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:45.605","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:18:46.389","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:48.861","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18:52.758","Cast","Arcane Blast 1.48 sec","Blinkladen → Training Dummy 1",""
"00:18:53.695","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:18:56.132","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:00.042","Cast","Arcane Blast 1.49 sec","Blinkladen → Training Dummy 1",""
"00:19:00.986","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:03.329","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:07.355","Cast","Arcane Blast 1.61 sec","Blinkladen → Training Dummy 1",""
"00:19:08.271","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:10.618","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:14.675","Cast","Arcane Blast 1.63 sec","Blinkladen → Training Dummy 1",""
"00:19:15.466","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:19:17.966","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:21.965","Cast","Arcane Blast 1.62 sec","Blinkladen → Training Dummy 1",""
"00:19:22.772","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:25.256","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:29.271","Cast","Arcane Blast 1.65 sec","Blinkladen → Training Dummy 1",""
"00:19:30.043","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:32.472","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19:36.563","Cast","Arcane Blast 1.69 sec","Blinkladen → Training Dummy 1",""
