"Time","Type","Ability","Amount","Source → Target",""
"00:22.023","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:36.292","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"00:58.278","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:20.152","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:42.138","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"01:43.069","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"02:04.048","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"02:04.721","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"02:26.118","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"02:26.736","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"03:09.895","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"03:31.824","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"03:32.547","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"03:54.054","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"03:54.636","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"04:09.061","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"04:30.449","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"04:31.261","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"04:52.547","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"04:53.116","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"05:14.318","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"05:37.004","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"05:58.595","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"06:20.004","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"06:20.226","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"06:20.449","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"06:42.059","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"07:04.011","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"07:25.768","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"07:47.878","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"07:48.684","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"08:10.364","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"08:35.627","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"08:57.212","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"08:58.151","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"09:19.611","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"09:41.218","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"09:44.884","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"09:45.718","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"10:07.426","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"10:33.015","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"10:54.480","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"11:16.280","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"11:16.855","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"11:38.226","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"11:56.501","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"11:56.917","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"12:19.055","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"12:40.272","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
"12:40.981","Resource Change","High Voltage","1 Arcane Charges","Blinkladen → Blinkladen",""
