"Time","Type","Ability","Source → Target",""
"00:14.833","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:16.041","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:18.473","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:19.701","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:20.875","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:22.136","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:23.333","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:25.777","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:27.006","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:29.451","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:30.618","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:33.097","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:34.319","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:35.455","Cast","Arcane Missiles","Blinkladen → Training Dummy 1",""
"00:36.770","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:37.972","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:40.346","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:41.638","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:44.068","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:45.284","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:47.627","Cast","Arcane Barrage","Blinkladen → Training Dummy 1",""
"00:48.966","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"00:51.298","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"00:52.610","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"00:55.048","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"00:56.257","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"00:57.473","Cast","Arcane Missiles","Blinkladen → Training Dummy 2",""
"00:58.624","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"00:59.916","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:02.347","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:03.556","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:06.005","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:07.220","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:09.652","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:10.888","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:13.311","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:14.499","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:16.978","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:18.194","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:19.424","Cast","Arcane Missiles","Blinkladen → Training Dummy 2",""
"01:20.598","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:21.847","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:24.277","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:25.437","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:27.943","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:29.159","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:31.610","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:32.825","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:35.262","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:36.471","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:38.846","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:40.090","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:41.305","Cast","Arcane Missiles","Blinkladen → Training Dummy 2",""
"01:42.471","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:43.792","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:46.222","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:47.380","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:49.881","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:51.109","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:53.534","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:54.756","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:57.105","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"01:58.409","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"02:00.854","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
"02:02.076","Cast","Arcane Barrage","Blinkladen → Training Dummy 2",""
